fabricante,modelo,codigo_modelo,url_modelo,href_original,texto_link,params
Aston Martin,DB9,DB9,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Aston Martin&modelo=DB9,catalogomodelo.asp?fabricante=Aston Martin&modelo=DB9,DB9,"{'fabricante': ['Aston Martin'], 'modelo': ['DB9']}"
Aston Martin,DBS,DBS,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Aston Martin&modelo=DBS,catalogomodelo.asp?fabricante=Aston Martin&modelo=DBS,DBS,"{'fabricante': ['Aston Martin'], 'modelo': ['DBS']}"
Aston Martin,DBX,DBX,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Aston Martin&modelo=DBX,catalogomodelo.asp?fabricante=Aston Martin&modelo=DBX,DBX,"{'fabricante': ['Aston Martin'], 'modelo': ['DBX']}"
Aston Martin,Rapide,Rapide,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Aston Martin&modelo=Rapide,catalogomodelo.asp?fabricante=Aston Martin&modelo=Rapide,Rapide,"{'fabricante': ['Aston Martin'], 'modelo': ['Rapide']}"
Aston Martin,Valhalla,Valhalla,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Aston Martin&modelo=Valhalla,catalogomodelo.asp?fabricante=Aston Martin&modelo=Valhalla,Valhalla,"{'fabricante': ['Aston Martin'], 'modelo': ['Valhalla']}"
Aston Martin,Valkyrie,Valkyrie,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Aston Martin&modelo=Valkyrie,catalogomodelo.asp?fabricante=Aston Martin&modelo=Valkyrie,Valkyrie,"{'fabricante': ['Aston Martin'], 'modelo': ['Valkyrie']}"
Aston Martin,Valour,Valour,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Aston Martin&modelo=Valour,catalogomodelo.asp?fabricante=Aston Martin&modelo=Valour,Valour,"{'fabricante': ['Aston Martin'], 'modelo': ['Valour']}"
Aston Martin,Vanquish,Vanquish,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Aston Martin&modelo=Vanquish,catalogomodelo.asp?fabricante=Aston Martin&modelo=Vanquish,Vanquish,"{'fabricante': ['Aston Martin'], 'modelo': ['Vanquish']}"
Aston Martin,Vantage,Vantage,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Aston Martin&modelo=Vantage,catalogomodelo.asp?fabricante=Aston Martin&modelo=Vantage,Vantage,"{'fabricante': ['Aston Martin'], 'modelo': ['Vantage']}"
Aston Martin,Virage,Virage,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Aston Martin&modelo=Virage,catalogomodelo.asp?fabricante=Aston Martin&modelo=Virage,Virage,"{'fabricante': ['Aston Martin'], 'modelo': ['Virage']}"
Audi,100,100,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=100,catalogomodelo.asp?fabricante=Audi&modelo=100,100,"{'fabricante': ['Audi'], 'modelo': ['100']}"
Audi,100 Avant,100 Avant,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=100 Avant,catalogomodelo.asp?fabricante=Audi&modelo=100 Avant,100 Avant,"{'fabricante': ['Audi'], 'modelo': ['100 Avant']}"
Audi,80,80,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=80,catalogomodelo.asp?fabricante=Audi&modelo=80,80,"{'fabricante': ['Audi'], 'modelo': ['80']}"
Audi,80 Avant,80 Avant,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=80 Avant,catalogomodelo.asp?fabricante=Audi&modelo=80 Avant,80 Avant,"{'fabricante': ['Audi'], 'modelo': ['80 Avant']}"
Audi,80 Cabriolet,80 Cabriolet,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=80 Cabriolet,catalogomodelo.asp?fabricante=Audi&modelo=80 Cabriolet,80 Cabriolet,"{'fabricante': ['Audi'], 'modelo': ['80 Cabriolet']}"
Audi,A1,A1,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=A1,catalogomodelo.asp?fabricante=Audi&modelo=A1,A1,"{'fabricante': ['Audi'], 'modelo': ['A1']}"
Audi,A3,A3,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=A3,catalogomodelo.asp?fabricante=Audi&modelo=A3,A3,"{'fabricante': ['Audi'], 'modelo': ['A3']}"
Audi,A3 Cabriolet,A3 Cabriolet,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=A3 Cabriolet,catalogomodelo.asp?fabricante=Audi&modelo=A3 Cabriolet,A3 Cabriolet,"{'fabricante': ['Audi'], 'modelo': ['A3 Cabriolet']}"
Audi,A3 Sedan,A3 Sedan,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=A3 Sedan,catalogomodelo.asp?fabricante=Audi&modelo=A3 Sedan,A3 Sedan,"{'fabricante': ['Audi'], 'modelo': ['A3 Sedan']}"
Audi,A4,A4,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=A4,catalogomodelo.asp?fabricante=Audi&modelo=A4,A4,"{'fabricante': ['Audi'], 'modelo': ['A4']}"
Audi,A4 Avant,A4 Avant,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=A4 Avant,catalogomodelo.asp?fabricante=Audi&modelo=A4 Avant,A4 Avant,"{'fabricante': ['Audi'], 'modelo': ['A4 Avant']}"
Audi,A4 Cabriolet,A4 Cabriolet,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=A4 Cabriolet,catalogomodelo.asp?fabricante=Audi&modelo=A4 Cabriolet,A4 Cabriolet,"{'fabricante': ['Audi'], 'modelo': ['A4 Cabriolet']}"
Audi,A5,A5,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=A5,catalogomodelo.asp?fabricante=Audi&modelo=A5,A5,"{'fabricante': ['Audi'], 'modelo': ['A5']}"
Audi,A5 Cabriolet,A5 Cabriolet,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=A5 Cabriolet,catalogomodelo.asp?fabricante=Audi&modelo=A5 Cabriolet,A5 Cabriolet,"{'fabricante': ['Audi'], 'modelo': ['A5 Cabriolet']}"
Audi,A5 Coupe,A5 Coupe,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=A5 Coupe,catalogomodelo.asp?fabricante=Audi&modelo=A5 Coupe,A5 Coupe,"{'fabricante': ['Audi'], 'modelo': ['A5 Coupe']}"
Audi,A6,A6,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=A6,catalogomodelo.asp?fabricante=Audi&modelo=A6,A6,"{'fabricante': ['Audi'], 'modelo': ['A6']}"
Audi,A6 Avant,A6 Avant,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=A6 Avant,catalogomodelo.asp?fabricante=Audi&modelo=A6 Avant,A6 Avant,"{'fabricante': ['Audi'], 'modelo': ['A6 Avant']}"
Audi,A6 E-tron,A6 E-tron,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=A6 E-tron,catalogomodelo.asp?fabricante=Audi&modelo=A6 E-tron,A6 E-tron,"{'fabricante': ['Audi'], 'modelo': ['A6 E-tron']}"
Audi,A7,A7,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=A7,catalogomodelo.asp?fabricante=Audi&modelo=A7,A7,"{'fabricante': ['Audi'], 'modelo': ['A7']}"
Audi,A8,A8,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=A8,catalogomodelo.asp?fabricante=Audi&modelo=A8,A8,"{'fabricante': ['Audi'], 'modelo': ['A8']}"
Audi,E-tron,E-tron,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=E-tron,catalogomodelo.asp?fabricante=Audi&modelo=E-tron,E-tron,"{'fabricante': ['Audi'], 'modelo': ['E-tron']}"
Audi,E-tron GT,E-tron GT,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=E-tron GT,catalogomodelo.asp?fabricante=Audi&modelo=E-tron GT,E-tron GT,"{'fabricante': ['Audi'], 'modelo': ['E-tron GT']}"
Audi,E-tron Sportback,E-tron Sportback,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=E-tron Sportback,catalogomodelo.asp?fabricante=Audi&modelo=E-tron Sportback,E-tron Sportback,"{'fabricante': ['Audi'], 'modelo': ['E-tron Sportback']}"
Audi,Q3,Q3,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=Q3,catalogomodelo.asp?fabricante=Audi&modelo=Q3,Q3,"{'fabricante': ['Audi'], 'modelo': ['Q3']}"
Audi,Q3 Sportback,Q3 Sportback,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=Q3 Sportback,catalogomodelo.asp?fabricante=Audi&modelo=Q3 Sportback,Q3 Sportback,"{'fabricante': ['Audi'], 'modelo': ['Q3 Sportback']}"
Audi,Q5,Q5,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=Q5,catalogomodelo.asp?fabricante=Audi&modelo=Q5,Q5,"{'fabricante': ['Audi'], 'modelo': ['Q5']}"
Audi,Q5 Sportback,Q5 Sportback,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=Q5 Sportback,catalogomodelo.asp?fabricante=Audi&modelo=Q5 Sportback,Q5 Sportback,"{'fabricante': ['Audi'], 'modelo': ['Q5 Sportback']}"
Audi,Q6 E-tron,Q6 E-tron,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=Q6 E-tron,catalogomodelo.asp?fabricante=Audi&modelo=Q6 E-tron,Q6 E-tron,"{'fabricante': ['Audi'], 'modelo': ['Q6 E-tron']}"
Audi,Q6 Sportback E-tron,Q6 Sportback E-tron,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=Q6 Sportback E-tron,catalogomodelo.asp?fabricante=Audi&modelo=Q6 Sportback E-tron,Q6 Sportback E-tron,"{'fabricante': ['Audi'], 'modelo': ['Q6 Sportback E-tron']}"
Audi,Q7,Q7,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=Q7,catalogomodelo.asp?fabricante=Audi&modelo=Q7,Q7,"{'fabricante': ['Audi'], 'modelo': ['Q7']}"
Audi,Q8,Q8,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=Q8,catalogomodelo.asp?fabricante=Audi&modelo=Q8,Q8,"{'fabricante': ['Audi'], 'modelo': ['Q8']}"
Audi,Q8 E-tron,Q8 E-tron,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=Q8 E-tron,catalogomodelo.asp?fabricante=Audi&modelo=Q8 E-tron,Q8 E-tron,"{'fabricante': ['Audi'], 'modelo': ['Q8 E-tron']}"
Audi,Q8 E-tron Sportback,Q8 E-tron Sportback,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=Q8 E-tron Sportback,catalogomodelo.asp?fabricante=Audi&modelo=Q8 E-tron Sportback,Q8 E-tron Sportback,"{'fabricante': ['Audi'], 'modelo': ['Q8 E-tron Sportback']}"
Audi,R8,R8,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=R8,catalogomodelo.asp?fabricante=Audi&modelo=R8,R8,"{'fabricante': ['Audi'], 'modelo': ['R8']}"
Audi,R8 Spyder,R8 Spyder,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=R8 Spyder,catalogomodelo.asp?fabricante=Audi&modelo=R8 Spyder,R8 Spyder,"{'fabricante': ['Audi'], 'modelo': ['R8 Spyder']}"
Audi,RS 2 Avant,RS 2 Avant,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=RS 2 Avant,catalogomodelo.asp?fabricante=Audi&modelo=RS 2 Avant,RS 2 Avant,"{'fabricante': ['Audi'], 'modelo': ['RS 2 Avant']}"
Audi,RS 3,RS 3,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=RS 3,catalogomodelo.asp?fabricante=Audi&modelo=RS 3,RS 3,"{'fabricante': ['Audi'], 'modelo': ['RS 3']}"
Audi,RS 3 Sedan,RS 3 Sedan,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=RS 3 Sedan,catalogomodelo.asp?fabricante=Audi&modelo=RS 3 Sedan,RS 3 Sedan,"{'fabricante': ['Audi'], 'modelo': ['RS 3 Sedan']}"
Audi,RS 4 Avant,RS 4 Avant,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=RS 4 Avant,catalogomodelo.asp?fabricante=Audi&modelo=RS 4 Avant,RS 4 Avant,"{'fabricante': ['Audi'], 'modelo': ['RS 4 Avant']}"
Audi,RS 5,RS 5,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=RS 5,catalogomodelo.asp?fabricante=Audi&modelo=RS 5,RS 5,"{'fabricante': ['Audi'], 'modelo': ['RS 5']}"
Audi,RS 5 Sportback,RS 5 Sportback,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=RS 5 Sportback,catalogomodelo.asp?fabricante=Audi&modelo=RS 5 Sportback,RS 5 Sportback,"{'fabricante': ['Audi'], 'modelo': ['RS 5 Sportback']}"
Audi,RS 6,RS 6,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=RS 6,catalogomodelo.asp?fabricante=Audi&modelo=RS 6,RS 6,"{'fabricante': ['Audi'], 'modelo': ['RS 6']}"
Audi,RS 6 Avant,RS 6 Avant,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=RS 6 Avant,catalogomodelo.asp?fabricante=Audi&modelo=RS 6 Avant,RS 6 Avant,"{'fabricante': ['Audi'], 'modelo': ['RS 6 Avant']}"
Audi,RS 7,RS 7,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=RS 7,catalogomodelo.asp?fabricante=Audi&modelo=RS 7,RS 7,"{'fabricante': ['Audi'], 'modelo': ['RS 7']}"
Audi,RS Q3,RS Q3,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=RS Q3,catalogomodelo.asp?fabricante=Audi&modelo=RS Q3,RS Q3,"{'fabricante': ['Audi'], 'modelo': ['RS Q3']}"
Audi,RS Q3 Sportback,RS Q3 Sportback,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=RS Q3 Sportback,catalogomodelo.asp?fabricante=Audi&modelo=RS Q3 Sportback,RS Q3 Sportback,"{'fabricante': ['Audi'], 'modelo': ['RS Q3 Sportback']}"
Audi,RS Q8,RS Q8,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=RS Q8,catalogomodelo.asp?fabricante=Audi&modelo=RS Q8,RS Q8,"{'fabricante': ['Audi'], 'modelo': ['RS Q8']}"
Audi,S2,S2,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=S2,catalogomodelo.asp?fabricante=Audi&modelo=S2,S2,"{'fabricante': ['Audi'], 'modelo': ['S2']}"
Audi,S2 Avant,S2 Avant,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=S2 Avant,catalogomodelo.asp?fabricante=Audi&modelo=S2 Avant,S2 Avant,"{'fabricante': ['Audi'], 'modelo': ['S2 Avant']}"
Audi,S2 Coupe,S2 Coupe,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=S2 Coupe,catalogomodelo.asp?fabricante=Audi&modelo=S2 Coupe,S2 Coupe,"{'fabricante': ['Audi'], 'modelo': ['S2 Coupe']}"
Audi,S3,S3,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=S3,catalogomodelo.asp?fabricante=Audi&modelo=S3,S3,"{'fabricante': ['Audi'], 'modelo': ['S3']}"
Audi,S3 Sedan,S3 Sedan,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=S3 Sedan,catalogomodelo.asp?fabricante=Audi&modelo=S3 Sedan,S3 Sedan,"{'fabricante': ['Audi'], 'modelo': ['S3 Sedan']}"
Audi,S4,S4,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=S4,catalogomodelo.asp?fabricante=Audi&modelo=S4,S4,"{'fabricante': ['Audi'], 'modelo': ['S4']}"
Audi,S4 Avant,S4 Avant,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=S4 Avant,catalogomodelo.asp?fabricante=Audi&modelo=S4 Avant,S4 Avant,"{'fabricante': ['Audi'], 'modelo': ['S4 Avant']}"
Audi,S5,S5,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=S5,catalogomodelo.asp?fabricante=Audi&modelo=S5,S5,"{'fabricante': ['Audi'], 'modelo': ['S5']}"
Audi,S5 Cabriolet,S5 Cabriolet,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=S5 Cabriolet,catalogomodelo.asp?fabricante=Audi&modelo=S5 Cabriolet,S5 Cabriolet,"{'fabricante': ['Audi'], 'modelo': ['S5 Cabriolet']}"
Audi,S5 Coupe,S5 Coupe,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=S5 Coupe,catalogomodelo.asp?fabricante=Audi&modelo=S5 Coupe,S5 Coupe,"{'fabricante': ['Audi'], 'modelo': ['S5 Coupe']}"
Audi,S6,S6,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=S6,catalogomodelo.asp?fabricante=Audi&modelo=S6,S6,"{'fabricante': ['Audi'], 'modelo': ['S6']}"
Audi,S6 Avant,S6 Avant,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=S6 Avant,catalogomodelo.asp?fabricante=Audi&modelo=S6 Avant,S6 Avant,"{'fabricante': ['Audi'], 'modelo': ['S6 Avant']}"
Audi,S7,S7,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=S7,catalogomodelo.asp?fabricante=Audi&modelo=S7,S7,"{'fabricante': ['Audi'], 'modelo': ['S7']}"
Audi,S8,S8,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Audi&modelo=S8,catalogomodelo.asp?fabricante=Audi&modelo=S8,S8,"{'fabricante': ['Audi'], 'modelo': ['S8']}"
